sku,name,cost,sell_price,stock
CET007,CORD END TERMINALS (BOOT LUG) 0.75MM,0.000,0.000,0.000
CET010,CORD END TERMINALS (BOOT LUG) 1.0MM,0.000,0.000,0.000
DBSP1006-1,DISTRIBUTION BOARD 10+6 SPN,0.000,0.000,0.000
2W3PD,DISTRIBUTION BOARD 2W 3PIN,23.000,0.000,3.000
DBTP0404-2,DISTRIBUTION BOARD 4+4 TPN - SCHNEIDER,0.000,0.000,0.000
DBTP0004-3,DISTRIBUTION BOARD 4W TPN - MAXGE,26.900,0.000,1.000
DBTP0806-1,DISTRIBUTION BOARD 8+6 TPN - HY,0.000,0.000,0.000
DB08SPN,DISTRIBUTION BOARD 8W SPN,20.000,0.000,5.000
DLSWOH,DOOR LOCK SET W/O HANDLE,0.000,0.000,0.000
DBHS140,DRILL BIT HSS  STEEL 14MM,3.300,0.000,2.000
EACH-2,EARTH ROD COVER,0.000,0.000,0.000
EFP15CM-5,EX FAN PVC SQUARE 15CM - HAVELLS,0.000,0.000,0.000
EFBC1315,EXHAUST FAN CEILING - THERMAL PROTECTION,9.405,0.000,0.000
FTP36DL,FLUORESCENT TUBE 36W DAY LIGHT,0.000,0.000,0.000
GIAB0443,GI ADAPTABLE BOX 100X100X75,5.500,0.000,2.000
GIAB0332,GI ADAPTABLE BOX 75X75X50,0.000,0.000,0.000
GIBH1050,GI BEAM HOLDER 10MMX50MM,0.000,0.000,0.000
GICPM32,GI CONDUIT PIPE 32MM,0.000,0.000,0.000
GICPM38,GI CONDUIT PIPE 38MM,0.000,0.000,0.000
GICPM50,GI CONDUIT PIPE 50MM,0.000,0.000,0.000
GIDCL50,GI DOUBLE CLAMP  50MM,0.000,0.000,0.000
GSM0350,"GRAVITY SHUTTER METAL 14"" - WINDY",0.000,0.000,0.000
GUMB02,GUM BOOT ITALY,1.800,0.000,1.000
AH12VF,HORN 12V FLOSSER,8.000,0.000,1.000
IGN1500,IGNITOR FOR HID LAMPS 1500W,0.000,0.000,0.000
IMP06303-3,IND MALE PLUG 220V 63A 2P+E - (PCE) IP67,0.000,0.000,0.000
